0,8015755;0,6563299;1,043211;
2,216285;0,8418034;1,73407;
8,950559;7,154868;21,41589;
-17,31076;-15,59253;8,307541;
1,399572;0,6088524;1,398275;
6,071712;1,755431;1,338741;
23,83675;10,08411;4,917745;
-2,373598;-16,13386;14,42512;
1,110588;1,390621;0,7065488;
3,256283;3,071384;4,23171;
17,91954;1,647665;12,4382;
-14,70288;-16,63229;2,016933;
1,447757;0,9558647;1,086497;
0,3323241;0,5151681;0,06070684;
3,264458;4,210017;5,437438;
-25,41986;-39,27989;-12,57337;
1,146162;0,0574075;0,8237287;
5,524603;5,277161;5,456982;
25,46302;8,980814;6,935559;
-9,043427;25,52753;-3,90098;
1,291363;0,470933;0,2288235;
1,38389;4,861225;6,010859;
42,08702;2,571954;39,73245;
-10,15532;-42,55533;-20,91769;
